,Time,Liquid Pressure [Pa] ,Liquid Saturation ,Temperature [C] ,Total Tracer_river [M] ,qlx [m/h] ,qly [m/h] ,qlz [m/h] ,northing,easting,elevation,cell_id
5,8646.0,120379.0,1.0,5.741473,1.000003,0.0001244412,-0.0003328245,-0.005300702,116300.0,594470.0,103.674,54943.0
6,8647.0,120145.7,1.0,5.741409,1.000003,9.859036e-05,-0.0002632037,-0.004180399,116300.0,594470.0,103.674,54943.0
7,8648.0,119831.5,1.0,5.741438,1.000002,7.360833e-05,-0.0001959733,-0.003099376,116300.0,594470.0,103.674,54943.0
8,8649.0,119335.5,1.0,5.741616,1.000002,3.066171e-05,-8.047773e-05,-0.001243108,116300.0,594470.0,103.674,54943.0
9,8650.0,119011.6,1.0,5.741904,1.000002,1.494252e-05,-3.83762e-05,-0.0005717078,116300.0,594470.0,103.674,54943.0
10,8651.0,118454.9,1.0,5.742706,1.000002,-2.555322e-05,7.059907e-05,0.001184605,116300.0,594470.0,103.674,54943.0
11,8652.0,117962.2,1.0,5.74394,1.000001,-5.174748e-05,0.0001408066,0.002307596,116300.0,594470.0,103.674,54943.0
0,8641.0,130951.1,1.0,5.8389,0.9999971,-0.01397637,-0.002253571,0.003522632,116290.0,594470.0,102.481,93216.0
1,8642.0,131362.0,1.0,5.839527,0.9999972,-0.01721195,-0.003139195,0.004409941,116290.0,594470.0,102.481,93216.0
2,8643.0,131626.7,1.0,5.840173,0.9999971,-0.01756137,-0.003678175,0.004587144,116290.0,594470.0,102.481,93216.0
3,8644.0,131844.9,1.0,5.840844,0.999997,-0.0181651,-0.003575014,0.004697131,116290.0,594470.0,102.481,93216.0
4,8645.0,131930.8,1.0,5.841508,0.9999969,-0.01701889,-0.003755141,0.004476068,116290.0,594470.0,102.481,93216.0
5,8646.0,131891.8,1.0,5.842148,0.9999967,-0.01377386,-0.004550263,0.003911661,116290.0,594470.0,102.481,93216.0
6,8647.0,131697.0,1.0,5.842729,0.9999964,-0.009798452,-0.005087204,0.003139132,116290.0,594470.0,102.481,93216.0
7,8648.0,131420.1,1.0,5.843269,0.9999962,-0.006146182,-0.005308854,0.002375333,116290.0,594470.0,102.481,93216.0
8,8649.0,130987.8,1.0,5.843767,0.9999958,0.0003018259,-0.00606284,0.001098207,116290.0,594470.0,102.481,93216.0
9,8650.0,130687.8,1.0,5.844254,0.9999956,0.001849392,-0.005127522,0.0005749036,116290.0,594470.0,102.481,93216.0
10,8651.0,130191.1,1.0,5.844758,0.9999953,0.008148696,-0.006118177,-0.000627273,116290.0,594470.0,102.481,93216.0
11,8652.0,129737.4,1.0,5.845207,0.999995,0.01139475,-0.005587247,-0.001451136,116290.0,594470.0,102.481,93216.0
0,8641.0,110777.8,1.0,5.745271,1.000002,0.0008664237,-0.0005750982,-0.01302025,116300.0,594460.0,104.567,59755.0
1,8642.0,111262.2,1.0,5.74416,1.000003,0.001259742,-0.0006554275,-0.01630403,116300.0,594460.0,104.567,59755.0
2,8643.0,111541.9,1.0,5.742804,1.000003,0.001313212,-0.0006800042,-0.01696494,116300.0,594460.0,104.567,59755.0
3,8644.0,111772.3,1.0,5.741177,1.000003,0.001405202,-0.0006779428,-0.01749849,116300.0,594460.0,104.567,59755.0
4,8645.0,111840.6,1.0,5.739397,1.000003,0.001340868,-0.0006465288,-0.01668822,116300.0,594460.0,104.567,59755.0
5,8646.0,111752.1,1.0,5.737512,1.000003,0.001126105,-0.0005720116,-0.01440966,116300.0,594460.0,104.567,59755.0
6,8647.0,111490.4,1.0,5.735859,1.000003,0.0008821655,-0.000456888,-0.01135529,116300.0,594460.0,104.567,59755.0
7,8648.0,111147.2,1.0,5.734594,1.000003,0.0005636098,-0.0003691881,-0.008353898,116300.0,594460.0,104.567,59755.0
8,8649.0,110605.8,1.0,5.733983,1.000002,0.0002338851,-0.0001533678,-0.003347456,116300.0,594460.0,104.567,59755.0
9,8650.0,110263.6,1.0,5.733877,1.000002,2.801382e-05,-9.708647e-05,-0.001471286,116300.0,594460.0,104.567,59755.0
10,8651.0,109679.8,1.0,5.734756,1.000002,0.0002772011,0.0002800199,0.00268563,116300.0,594460.0,104.567,59755.0
11,8652.0,109175.3,1.0,5.736314,1.000001,0.000521975,0.0005575171,0.005152818,116300.0,594460.0,104.567,59755.0
0,8641.0,107713.7,1.0,5.716429,1.000002,-0.003619705,-0.00151754,-0.02735569,116300.0,594460.0,104.94,18289.0
1,8642.0,108335.9,1.0,5.713234,1.000002,-0.004455889,-0.001854886,-0.03386226,116300.0,594460.0,104.94,18289.0
2,8643.0,108644.8,1.0,5.707751,1.000002,-0.004616769,-0.001919047,-0.03517906,116300.0,594460.0,104.94,18289.0
3,8644.0,108894.4,1.0,5.699721,1.000002,-0.004737915,-0.00196357,-0.03614182,116300.0,594460.0,104.94,18289.0
4,8645.0,108926.9,1.0,5.690203,1.000002,-0.004517862,-0.001873145,-0.0344633,116300.0,594460.0,104.94,18289.0
5,8646.0,108740.6,1.0,5.680959,1.000002,-0.003911767,-0.001627214,-0.02983112,116300.0,594460.0,104.94,18289.0
6,8647.0,108345.6,1.0,5.673562,1.000001,-0.003106364,-0.001302677,-0.02359352,116300.0,594460.0,104.94,18289.0
7,8648.0,107875.4,1.0,5.668183,1.000001,-0.002326507,-0.0009880012,-0.01758061,116300.0,594460.0,104.94,18289.0
8,8649.0,107110.4,1.0,5.664697,1.000001,-0.0009753228,-0.0004395133,-0.007199345,116300.0,594460.0,104.94,18289.0
9,8650.0,106688.4,1.0,5.663055,1.000001,-0.0004845804,-0.0002377242,-0.003454921,116300.0,594460.0,104.94,18289.0
10,8651.0,105881.7,1.0,5.663656,1.0,0.001098847,0.0005230431,0.006488324,116300.0,594460.0,104.94,18289.0
11,8652.0,105230.6,1.0,5.665274,1.0,0.002515923,0.001339576,0.01303606,116300.0,594460.0,104.94,18289.0
0,8641.0,132758.3,1.0,5.86629,0.9999969,-0.03996026,-0.04976381,0.01771944,116300.0,594470.0,102.298,92155.0
1,8642.0,133172.0,1.0,5.865905,0.9999968,-0.04945443,-0.06238544,0.02199816,116300.0,594470.0,102.298,92155.0
2,8643.0,133437.6,1.0,5.8655,0.9999964,-0.05105566,-0.06529707,0.0227687,116300.0,594470.0,102.298,92155.0
3,8644.0,133656.0,1.0,5.865094,0.9999958,-0.05239179,-0.06690308,0.02334683,116300.0,594470.0,102.298,92155.0
4,8645.0,133741.4,1.0,5.864746,0.9999951,-0.04962193,-0.06399015,0.02214847,116300.0,594470.0,102.298,92155.0
5,8646.0,133701.4,1.0,5.864475,0.9999942,-0.04220316,-0.05647996,0.01897797,116300.0,594470.0,102.298,92155.0
6,8647.0,133504.8,1.0,5.86432,0.9999934,-0.03254385,-0.04580921,0.01479322,116300.0,594470.0,102.298,92155.0
7,8648.0,133225.9,1.0,5.864284,0.9999927,-0.02341817,-0.03530537,0.01081085,116300.0,594470.0,102.298,92155.0
8,8649.0,132790.6,1.0,5.864396,0.9999923,-0.007543559,-0.01787843,0.003943917,116300.0,594470.0,102.298,92155.0
9,8650.0,132488.7,1.0,5.864615,0.999992,-0.002333723,-0.01040157,0.001562674,116300.0,594470.0,102.298,92155.0
10,8651.0,131989.4,1.0,5.864988,0.9999917,0.01271617,0.005575225,-0.004907975,116300.0,594470.0,102.298,92155.0
11,8652.0,131533.2,1.0,5.865507,0.999991,0.0218384,0.01681498,-0.008948372,116300.0,594470.0,102.298,92155.0
0,8641.0,126377.0,1.0,5.754232,1.000002,-7.631862e-06,-6.347857e-05,-0.0004895092,116310.0,594470.0,102.98,50906.0
1,8642.0,126865.9,1.0,5.754476,1.000002,-9.465277e-06,-7.862026e-05,-0.0006061296,116310.0,594470.0,102.98,50906.0
2,8643.0,127147.4,1.0,5.754719,1.000003,-9.807995e-06,-8.174325e-05,-0.000629984,116310.0,594470.0,102.98,50906.0
3,8644.0,127376.8,1.0,5.754964,1.000003,-1.005324e-05,-8.392432e-05,-0.0006474207,116310.0,594470.0,102.98,50906.0
4,8645.0,127443.4,1.0,5.75522,1.000003,-9.554236e-06,-8.006669e-05,-0.0006175056,116310.0,594470.0,102.98,50906.0
5,8646.0,127351.8,1.0,5.755488,1.000003,-8.233595e-06,-6.948972e-05,-0.0005346042,116310.0,594470.0,102.98,50906.0
6,8647.0,127084.7,1.0,5.755775,1.000002,-6.475083e-06,-5.515299e-05,-0.0004227099,116310.0,594470.0,102.98,50906.0
7,8648.0,126737.8,1.0,5.75608,1.000002,-4.792851e-06,-4.131702e-05,-0.0003148736,116310.0,594470.0,102.98,50906.0
8,8649.0,126185.7,1.0,5.756406,1.000002,-1.888699e-06,-1.747713e-05,-0.0001286578,116310.0,594470.0,102.98,50906.0
9,8650.0,125840.2,1.0,5.756743,1.000002,-8.520742e-07,-8.741753e-06,-6.161306e-05,116310.0,594470.0,102.98,50906.0
10,8651.0,125231.4,1.0,5.757128,1.000002,1.895721e-06,1.364886e-05,0.0001143482,116310.0,594470.0,102.98,50906.0
