# time X(m) Y(m) Z(m)
5.391000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.988857142999999716e+00
5.394000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.989142857000000042e+00
5.397000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.989418366999999854e+00
5.400000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.989683673000000041e+00
5.403000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.989959183999999937e+00
5.406000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.990142856999999488e+00
5.409000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.990326531000000010e+00
5.412000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.990510203999999561e+00
5.415000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.990693878000000083e+00
5.418000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.990867347000000009e+00
5.421000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.991051019999999561e+00
5.424000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.991234694000000083e+00
5.427000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.991418366999999634e+00
5.430000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.991602041000000156e+00
5.433000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.991785713999999707e+00
5.436000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.991969388000000230e+00
5.439000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.992142857000000156e+00
5.442000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.992908163000000066e+00
5.445000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.993663265000000351e+00
5.448000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.994428571000000261e+00
5.451000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.995183673000000546e+00
5.454000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.995948979999999651e+00
5.457000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.996704081999999936e+00
5.460000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.997459183999999333e+00
5.463000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.998234693999999756e+00
5.466000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.998989796000000041e+00
5.469000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 4.999755101999999951e+00
5.472000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.000510203999999348e+00
5.475000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.001265306000000521e+00
5.478000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.001744898000000106e+00
5.481000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.002224489999999690e+00
5.484000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.002704082000000163e+00
5.487000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.003183673000000553e+00
5.490000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.003663265000000138e+00
5.493000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.004142856999999722e+00
5.496000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.004622449000000195e+00
5.499000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.005102041000000668e+00
5.502000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.005581633000000252e+00
5.505000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.006061223999999754e+00
5.508000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.006530611999999714e+00
5.511000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.007010204000000186e+00
5.514000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.007295918000000512e+00
5.517000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.007591836999999657e+00
5.520000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.007867346999999469e+00
5.523000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.008153060999999795e+00
5.526000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.008438776000000203e+00
5.529000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.008724489999999641e+00
5.532000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.009010203999999966e+00
5.535000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.009285713999999778e+00
5.538000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.009581632999999812e+00
5.541000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.009867347000000137e+00
5.544000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.010153061000000463e+00
5.547000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.010438775999999983e+00
5.550000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.010846938999999445e+00
5.553000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.011275509999999933e+00
5.556000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.011693877999999991e+00
5.559000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.012112244999999966e+00
5.562000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.012530611999999941e+00
5.565000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.012948979999999999e+00
5.568000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.013367346999999974e+00
5.571000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.013785713999999949e+00
5.574000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.014214286000000520e+00
5.577000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.014622448999999982e+00
5.580000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.015040815999999957e+00
5.583000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.015469388000000528e+00
5.586000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.016091837000000275e+00
5.589000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.016734694000000161e+00
5.592000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.017367346999999533e+00
5.595000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.017999999999999794e+00
5.598000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.018642856999999680e+00
5.601000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.019275509999999940e+00
5.604000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.019908163000000201e+00
5.607000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.020540816000000461e+00
5.610000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.021173468999999834e+00
5.613000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.021806122000000094e+00
5.616000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.022438776000000438e+00
5.619000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.023071428999999810e+00
5.622000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.022520408000000103e+00
5.625000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.021969388000000478e+00
5.628000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.021418366999999883e+00
5.631000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.020867347000000258e+00
5.634000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.020306122000000038e+00
5.637000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.019765306000000038e+00
5.640000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.019204081999999900e+00
5.643000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.018653061000000193e+00
5.646000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.018102041000000568e+00
5.649000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.017551019999999973e+00
5.652000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00 5.016999999999999460e+00
