time,true_flux(m/d)
4/2/2017 16:54,0.340236723
4/2/2017 16:59,0.334170708
4/2/2017 17:04,0.331763982
4/2/2017 17:09,0.329356482
4/2/2017 17:14,0.326948247
4/2/2017 17:19,0.324516503
4/2/2017 17:24,0.322084582
4/2/2017 17:29,0.319652393
4/2/2017 17:34,0.317209987
4/2/2017 17:39,0.314767265
4/2/2017 17:44,0.312324208
4/2/2017 17:49,0.309893795
4/2/2017 17:54,0.307463037
4/2/2017 17:59,0.305031927
4/2/2017 18:04,0.305691233
4/2/2017 18:09,0.306350605
4/2/2017 18:14,0.307010868
4/2/2017 18:19,0.307671874
4/2/2017 18:24,0.308332897
4/2/2017 18:29,0.308994783
4/2/2017 18:34,0.309664896
4/2/2017 18:39,0.310334846
4/2/2017 18:44,0.311005512
4/2/2017 18:49,0.311676737
4/2/2017 18:54,0.31234783
4/2/2017 18:59,0.31301965
4/2/2017 19:04,0.30399681
4/2/2017 19:09,0.294972813
4/2/2017 19:14,0.28594938
4/2/2017 19:19,0.276913272
4/2/2017 19:24,0.267876144
4/2/2017 19:29,0.258839776
4/2/2017 19:34,0.249797896
4/2/2017 19:39,0.240755223
4/2/2017 19:44,0.231713478
4/2/2017 19:49,0.222673734
4/2/2017 19:54,0.213633221
4/2/2017 19:59,0.204593707
4/2/2017 20:04,0.187184151
4/2/2017 20:09,0.169773762
4/2/2017 20:14,0.152363466
4/2/2017 20:19,0.134946049
4/2/2017 20:24,0.117528071
4/2/2017 20:29,0.100110472
4/2/2017 20:34,0.082703192
4/2/2017 20:39,0.065295713
4/2/2017 20:44,0.047888974
4/2/2017 20:49,0.030485758
4/2/2017 20:54,0.013082661
4/2/2017 20:59,-0.004318395
4/2/2017 21:04,-0.003370966
4/2/2017 21:09,-0.002423605
4/2/2017 21:14,-0.001475487
4/2/2017 21:19,-0.000512535
4/2/2017 21:24,0.000450423
4/2/2017 21:29,0.001414224
4/2/2017 21:34,0.002362823
4/2/2017 21:39,0.003311343
4/2/2017 21:44,0.004260609
4/2/2017 21:49,0.005220435
4/2/2017 21:54,0.006180181
4/2/2017 21:59,0.007140676
4/2/2017 22:04,-0.005825609
4/2/2017 22:09,-0.018790245
4/2/2017 22:14,-0.031755437
4/2/2017 22:19,-0.044709391
4/2/2017 22:24,-0.057662971
4/2/2017 22:29,-0.070616944
4/2/2017 22:34,-0.083579725
4/2/2017 22:39,-0.096541987
4/2/2017 22:44,-0.109504499
4/2/2017 22:49,-0.122466914
4/2/2017 22:54,-0.135428686
4/2/2017 22:59,-0.148390556
4/2/2017 23:04,-0.148067462
4/2/2017 23:09,-0.147744449
4/2/2017 23:14,-0.147422323
4/2/2017 23:19,-0.147100809
4/2/2017 23:24,-0.146779383
4/2/2017 23:29,-0.146458845
4/2/2017 23:34,-0.146146444
4/2/2017 23:39,-0.145834127
4/2/2017 23:44,-0.145522716
4/2/2017 23:49,-0.145199121
4/2/2017 23:54,-0.144875637
4/2/2017 23:59,-0.144553055
4/3/2017 0:04,-0.140890783
4/3/2017 0:09,-0.137228813
4/3/2017 0:14,-0.133567117
4/3/2017 0:19,-0.129890457
4/3/2017 0:24,-0.126214061
4/3/2017 0:29,-0.122537933
4/3/2017 0:34,-0.118863318
4/3/2017 0:39,-0.115188955
4/3/2017 0:44,-0.111514853
4/3/2017 0:49,-0.107839767
4/3/2017 0:54,-0.104164923
4/3/2017 0:59,-0.10049033
4/3/2017 1:04,-0.112209863
4/3/2017 1:09,-0.123928867
4/3/2017 1:14,-0.13564892
4/3/2017 1:19,-0.147377011
4/3/2017 1:24,-0.159104491
4/3/2017 1:29,-0.170832929
4/3/2017 1:34,-0.182545245
4/3/2017 1:39,-0.194256875
4/3/2017 1:44,-0.205969379
4/3/2017 1:49,-0.217692176
4/3/2017 1:54,-0.229414217
4/3/2017 1:59,-0.241137068
4/3/2017 2:04,-0.237544111
4/3/2017 2:09,-0.233951499
4/3/2017 2:14,-0.23036003
4/3/2017 2:19,-0.226770415
4/3/2017 2:24,-0.223181172
4/3/2017 2:29,-0.219593089
4/3/2017 2:34,-0.215990863
4/3/2017 2:39,-0.21238901
4/3/2017 2:44,-0.208788312
4/3/2017 2:49,-0.205198634
4/3/2017 2:54,-0.201609332
4/3/2017 2:59,-0.198021187
4/3/2017 3:04,-0.200119147
4/3/2017 3:09,-0.202217091
4/3/2017 3:14,-0.204316605
4/3/2017 3:19,-0.20642702
4/3/2017 3:24,-0.208537437
4/3/2017 3:29,-0.210649422
4/3/2017 3:34,-0.212748359
4/3/2017 3:39,-0.214847302
4/3/2017 3:44,-0.216947811
4/3/2017 3:49,-0.219048769
4/3/2017 3:54,-0.221149736
4/3/2017 3:59,-0.22325227
4/3/2017 4:04,-0.223224987
4/3/2017 4:09,-0.223197856
4/3/2017 4:14,-0.223172442
4/3/2017 4:19,-0.223145567
4/3/2017 4:24,-0.223118831
4/3/2017 4:29,-0.223093807
4/3/2017 4:34,-0.223067321
4/3/2017 4:39,-0.223040981
4/3/2017 4:44,-0.223016342
4/3/2017 4:49,-0.222990252
4/3/2017 4:54,-0.222964305
4/3/2017 4:59,-0.222940056
4/3/2017 5:04,-0.235164964
4/3/2017 5:09,-0.247389217
4/3/2017 5:14,-0.259615907
4/3/2017 5:19,-0.271851089
4/3/2017 5:24,-0.284085613
4/3/2017 5:29,-0.296322519
4/3/2017 5:34,-0.308543231
4/3/2017 5:39,-0.320763231
4/3/2017 5:44,-0.332985579
4/3/2017 5:49,-0.345217269
4/3/2017 5:54,-0.35744827
4/3/2017 5:59,-0.369681581
